class_id,class_name,precision,recall,ap50,ap50_95,baseline_ap50,baseline_ap50_95,delta_ap50_95
54,donut,0.5677519553420739,0.6310975609756098,0.5836796813613445,0.4518880152337572,0.61721777418783,0.48463069150532406,-0.03274267627156685
14,bird,0.6231682447385444,0.47540983606557374,0.5039602752675783,0.32629723199379085,0.5306804577919957,0.35988179268684084,-0.03358456069304999
52,hot dog,0.47311485940499903,0.512,0.5139423144430686,0.37567733041299295,0.5371938646492032,0.40929643103495106,-0.03361910062195811
51,carrot,0.43525148990917767,0.33424657534246577,0.3167766923352689,0.19827755910170847,0.3652532112104515,0.23410205461298048,-0.03582449551127201
36,skateboard,0.761575203915981,0.7316323610269563,0.7588078633679347,0.5531504620400451,0.7890053572618282,0.589327994930592,-0.036177532890546815
15,cat,0.8127469998417819,0.8594843746024878,0.9049971571691976,0.7208291737336187,0.9236538245123297,0.7589807268333886,-0.03815155309976992
38,tennis racket,0.8871917816997084,0.6533333333333333,0.7485517722308569,0.4876560563344919,0.796250509847068,0.5280995214651567,-0.040443465130664824
19,cow,0.7830680963270045,0.6854838709677419,0.7492211387431769,0.5510818020455683,0.7934453121699351,0.5920694129150949,-0.040987610869526514
28,suitcase,0.5497638145277526,0.6493255461815488,0.6279149012208386,0.41830632405190116,0.6735167619087472,0.4603785170720235,-0.04207219302012233
1,bicycle,0.7704261728688614,0.43312101910828027,0.5235529497627129,0.3000006915016994,0.5703058354643136,0.3426055105432628,-0.042604819041563435
44,spoon,0.5382645428637611,0.2608695652173913,0.26255924470496356,0.1637180623164428,0.3101944165802468,0.20641578948952155,-0.042697727173078764
50,broccoli,0.5149697780646721,0.3076923076923077,0.343850134658908,0.19457254074747662,0.39970006009454884,0.2375843606833173,-0.04301181993584069
23,giraffe,0.8559634143837053,0.875,0.9068497488295554,0.7090558594107146,0.9305595758909699,0.7525129249647831,-0.043457065554068475
40,wine glass,0.7177104059217552,0.424987287196332,0.5198187821808065,0.33660880990233144,0.5747614324745038,0.3814995078235325,-0.04489069792120104
27,tie,0.6845386080211344,0.430553881802138,0.4891150936818806,0.30675449054216364,0.5333553016335569,0.35314204883196487,-0.046387558289801234
64,mouse,0.6460809689887872,0.7358490566037735,0.7363552704654328,0.5654650754096393,0.7890467197848877,0.6124506598187462,-0.04698558440910694
56,chair,0.6241634196884857,0.3619424054206663,0.4575790155846463,0.29395698372534224,0.5168162931873578,0.34110119804035366,-0.04714421431501142
2,car,0.7932907468302189,0.4982224650766115,0.6229411770121274,0.40818931232265043,0.6755495303592931,0.45661567809117176,-0.04842636576852133
41,cup,0.7949270608440882,0.38994413407821227,0.5425690594540498,0.39970232937649086,0.6031125602515919,0.44813085903697136,-0.0484285296604805
53,pizza,0.732715134033113,0.6795774647887324,0.6948479167707082,0.515694385837764,0.7412948161004462,0.5641621318068832,-0.04846774596911929
62,tv,0.6350169606048387,0.7534722222222222,0.7593393986669392,0.5744278127160085,0.8133631846409337,0.6243862696818117,-0.049958456965803144
8,boat,0.5458488472007558,0.4009433962264151,0.45128908376389454,0.24612883844448152,0.5179590080760532,0.2985943386796715,-0.05246550023518998
18,sheep,0.6910539224886223,0.7231638418079096,0.7420971812110777,0.5198326138974518,0.7828328902044868,0.572374600709931,-0.052541986812479125
58,potted plant,0.5776926588186975,0.3639884029156323,0.42780957639216,0.25030492745463306,0.48943873434284896,0.30293618755978324,-0.05263126010515018
59,bed,0.6475581614914714,0.558282208588957,0.632508250473161,0.447369820705459,0.6942553544262744,0.5004015549229655,-0.053031734217506454
65,remote,0.5972766111920528,0.38869257950530034,0.4402101964476147,0.26043180809027466,0.49229465076173523,0.31529925809328463,-0.054867450003009965
71,sink,0.6897588594852907,0.5066666666666667,0.5664741406296205,0.37118360871072487,0.6221630499941,0.4264051594326479,-0.05522155072192303
45,bowl,0.6757956524085875,0.4622792937399679,0.5443710459855353,0.3918163883778471,0.603245857928744,0.447351672923721,-0.05553528454587392
37,surfboard,0.7516423944504493,0.5093632958801498,0.586217264872702,0.35689100636143944,0.6338549510507161,0.4128741884962846,-0.055983182134845155
74,clock,0.6919884033896667,0.6816479400749064,0.7146613475805741,0.47556576993827304,0.7452459639487914,0.5316124445574835,-0.056046674619210424
63,laptop,0.6674334075350982,0.7272727272727273,0.7512537790821153,0.6062779556658054,0.7935351741039589,0.6628997486748044,-0.056621793008998944
55,cake,0.5880144557848067,0.5387096774193548,0.5372351953123554,0.36753845891744696,0.6216017939019628,0.42547967698304623,-0.057941218065599265
6,train,0.8107761506571454,0.8421052631578947,0.8907701112015725,0.7003442181995361,0.9327417922339606,0.7591382794645988,-0.0587940612650627
30,skis,0.6133097104390532,0.38333333333333336,0.42448489524081723,0.22671349119040912,0.49949452336389033,0.28631425852977543,-0.05960076733936631
67,cell phone,0.7350031679113626,0.3705251489478604,0.4839378491369949,0.3158575568067749,0.5651815452373836,0.37588798234424153,-0.060030425537466625
75,vase,0.6045740096076819,0.5022032620135922,0.5038199971330413,0.356258157312605,0.5853518176051941,0.41897814056063815,-0.06271998324803313
79,toothbrush,0.47458001914597203,0.39624738469706167,0.3786453036905856,0.2624258261937573,0.45504693541253016,0.3251515959197535,-0.0627257697259962
4,airplane,0.7901305994405847,0.8531468531468531,0.8718548057579836,0.6910860819345106,0.9331256191428682,0.7551670026633163,-0.06408092072880567
49,orange,0.4551184001841005,0.36140350877192984,0.32972442767797283,0.25241262701651257,0.41290749933968396,0.3187119411813336,-0.06629931416482104
34,baseball bat,0.6631601937597745,0.503448275862069,0.5098280602740147,0.2997671541847464,0.595638917419907,0.3676408614819872,-0.06787370729724079
61,toilet,0.7783473841163073,0.7486033519553073,0.7895605764239538,0.6350300370339633,0.8495620020813627,0.7032275334765412,-0.06819749644257789
